transition_id,opportunity_id,sales_agent,from_stage,to_stage,changed_at,days_in_previous_stage
ST-000001,1C1I7A6R,Moses Frase,Prospecting,Engaging,2016-10-20,23
ST-000002,1C1I7A6R,Moses Frase,Engaging,Won,2017-03-01,132
ST-000003,Z063OYW0,Darcel Schlecht,Prospecting,Engaging,2016-10-25,6
ST-000004,Z063OYW0,Darcel Schlecht,Engaging,Won,2017-03-11,137
ST-000005,EC4QE1BX,Darcel Schlecht,Prospecting,Engaging,2016-10-25,3
ST-000006,EC4QE1BX,Darcel Schlecht,Engaging,Won,2017-03-07,133
ST-000007,MV1LWRNH,Moses Frase,Prospecting,Engaging,2016-10-25,26
ST-000008,MV1LWRNH,Moses Frase,Engaging,Won,2017-03-09,135
ST-000009,PE84CX4O,Zane Levy,Prospecting,Engaging,2016-10-25,11
ST-000010,PE84CX4O,Zane Levy,Engaging,Won,2017-03-02,128
ST-000011,ZNBS69V1,Anna Snelling,Prospecting,Engaging,2016-10-29,10
ST-000012,ZNBS69V1,Anna Snelling,Engaging,Won,2017-03-01,123
ST-000013,9ME3374G,Vicki Laflamme,Prospecting,Engaging,2016-10-30,10
ST-000014,9ME3374G,Vicki Laflamme,Engaging,Won,2017-03-02,123
ST-000015,7GN8Q4LL,Markita Hansen,Prospecting,Engaging,2016-11-01,7
ST-000016,7GN8Q4LL,Markita Hansen,Engaging,Won,2017-03-07,126
ST-000017,OLK9LKZB,Niesha Huffines,Prospecting,Engaging,2016-11-01,26
ST-000018,OLK9LKZB,Niesha Huffines,Engaging,Won,2017-03-03,122
ST-000019,HAXMC4IX,James Ascencio,Prospecting,Engaging,2016-11-03,6
ST-000020,NL3JZH1Z,Anna Snelling,Prospecting,Engaging,2016-11-04,24
ST-000021,NL3JZH1Z,Anna Snelling,Engaging,Won,2017-03-10,126
ST-000022,KWVA7VR1,Gladys Colclough,Prospecting,Engaging,2016-11-04,26
ST-000023,KWVA7VR1,Gladys Colclough,Engaging,Lost,2017-03-18,134
ST-000024,S8DX3XOU,James Ascencio,Prospecting,Engaging,2016-11-04,20
ST-000025,S8DX3XOU,James Ascencio,Engaging,Won,2017-03-10,126
ST-000026,ENB2XD8G,Maureen Marcano,Prospecting,Engaging,2016-11-04,5
ST-000027,ENB2XD8G,Maureen Marcano,Engaging,Won,2017-03-06,122
ST-000028,09YE9QOV,Hayden Neloms,Prospecting,Engaging,2016-11-05,21
ST-000029,09YE9QOV,Hayden Neloms,Engaging,Won,2017-03-11,126
ST-000030,3F5MZNEH,Rosalina Dieter,Prospecting,Engaging,2016-11-05,16
ST-000031,3F5MZNEH,Rosalina Dieter,Engaging,Lost,2017-03-03,118
ST-000032,M6WEJXC0,Rosalina Dieter,Prospecting,Engaging,2016-11-05,4
ST-000033,M6WEJXC0,Rosalina Dieter,Engaging,Won,2017-03-06,121
